battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
694,1,1.3,1,3,0,47,0.9,186,1,3,912,1291,2130,8,16,15,1,0,0,1
1002,0,0.6,0,0,1,47,0.2,104,5,20,1156,562,3585,13,1,10,1,0,0,3
1481,0,2.1,1,10,1,36,0.6,169,5,8,1069,785,3120,9,1,9,1,1,0,3
1787,0,2.5,0,11,1,55,0.2,193,3,10,1955,741,1734,18,1,7,1,0,1,2
1804,1,2.9,1,3,0,25,0.5,101,7,0,1561,1477,3652,14,1,19,0,0,0,3
1831,0,1.3,0,5,1,61,0.2,122,2,20,659,1898,1934,18,5,18,0,1,1,2
675,0,2.3,0,19,1,21,0.9,178,7,4,1609,1584,465,12,7,15,0,1,0,0
1665,1,1.4,0,10,1,4,0.2,80,5,14,945,1162,2075,6,6,7,0,1,0,1
1001,1,1.2,0,10,1,21,0.2,196,6,12,1403,1388,2248,5,9,2,1,0,1,2
1748,0,1.2,1,9,0,27,0.3,84,3,5,221,1431,2086,15,3,3,0,1,0,1
1108,1,3.0,1,18,1,25,0.8,96,6,4,151,1581,3973,8,3,6,0,0,1,3
1308,0,2.5,1,9,1,21,0.9,198,6,3,1306,1334,3591,6,16,13,0,0,1,3
1194,1,1.1,1,1,0,27,0.4,171,8,16,278,1727,1932,17,3,5,0,1,1,1
1656,0,0.7,1,1,0,56,0.3,129,1,16,351,1485,1581,6,4,6,1,0,1,1
1485,0,2.8,0,5,0,39,0.6,144,6,19,938,1761,3722,6,10,15,0,0,0,3
1222,1,0.8,1,12,1,49,0.2,115,2,4,126,1588,3274,14,13,16,1,1,1,2
1037,0,1.2,1,14,0,43,0.5,145,7,2,1583,815,1964,8,12,20,0,1,0,1
1633,1,0.9,0,14,1,2,0.2,172,4,11,120,1199,688,6,11,12,0,1,0,0
1680,1,1.4,1,15,0,50,0.8,105,3,17,1580,1747,3425,15,11,16,1,0,0,3
1970,1,0.9,0,12,1,22,0.3,188,6,8,839,1153,2110,9,10,5,1,1,0,2
1523,1,2.1,0,19,0,9,0.1,118,7,8,480,1768,1125,15,14,5,1,0,1,0
970,0,1.9,1,2,1,9,0.9,190,8,19,1557,960,940,8,10,5,1,0,0,0
1204,1,2.9,1,19,0,32,0.8,113,6,20,1186,650,2749,17,6,19,0,1,0,3
1668,0,2.1,1,3,0,57,0.8,130,3,15,1059,760,3996,9,2,6,0,0,0,3
1031,1,0.6,1,12,0,48,0.9,183,7,13,937,1166,759,6,4,3,1,1,1,0
1223,1,0.5,1,10,0,47,1.0,112,7,13,774,1497,2980,8,9,5,0,0,1,3
1564,1,2.3,0,15,1,26,0.8,125,5,16,603,727,1988,15,11,10,0,1,0,2
1775,0,2.7,1,5,1,42,0.9,175,3,3,1899,778,3740,16,17,13,1,1,1,3
1994,1,1.5,0,15,0,46,0.2,91,8,1,686,1817,2145,10,1,20,1,0,0,2
1215,0,1.3,1,17,0,63,0.6,177,2,8,31,1346,2663,14,15,13,1,1,0,2
1161,1,1.6,0,14,1,27,0.6,117,8,9,255,527,3505,6,14,16,0,0,1,3
802,0,0.7,0,0,0,10,0.3,94,8,14,171,1584,2761,18,15,20,0,1,0,1
1136,0,2.1,1,18,0,22,0.2,160,6,0,628,909,3313,13,2,12,1,1,0,2
1594,1,1.4,0,18,0,47,0.5,156,3,19,1158,1247,2590,11,15,11,0,1,0,3
1700,0,0.7,0,4,0,14,0.9,96,5,6,489,840,373,6,16,4,1,1,0,0
1551,0,2.4,0,15,1,52,1.0,80,4,14,1286,1218,938,8,8,9,0,1,1,1
1750,0,1.8,0,8,1,49,0.6,195,3,16,154,1068,2497,16,10,13,0,0,0,2
608,1,1.8,1,4,1,44,0.4,192,7,11,113,964,1812,12,5,17,0,0,0,1
1076,1,1.4,1,15,1,34,0.4,196,5,13,501,1217,826,12,3,10,1,0,1,0
1164,1,2.0,0,17,1,18,0.7,145,1,15,219,937,1147,19,13,15,0,1,0,0
1200,0,1.7,1,2,0,3,0.8,123,5,14,1159,1831,2058,13,13,2,0,0,0,1
791,0,0.6,1,0,0,36,0.7,131,5,12,1521,1909,786,13,17,16,1,0,1,0
1907,0,2.7,0,11,0,13,0.6,142,2,20,259,1924,1822,19,7,19,0,1,1,1
840,1,2.4,1,8,1,57,0.8,130,3,2,1442,605,297,6,11,5,1,1,0,0
505,0,1.4,0,17,1,11,0.1,92,4,5,1034,1774,860,12,4,3,0,1,1,0
1692,1,1.6,1,6,0,40,0.2,190,6,4,1429,1799,2961,10,11,17,0,1,1,3
979,0,1.7,1,12,1,48,0.4,165,5,8,1211,802,657,18,13,13,1,0,1,0
1411,0,1.5,1,11,1,49,0.4,118,4,14,1042,1581,1296,10,14,13,1,0,0,1
752,0,1.3,0,18,1,43,0.3,184,7,20,309,778,817,12,10,20,1,0,0,0
1889,1,2.9,1,10,0,10,0.9,175,4,19,1646,1180,678,11,11,4,1,0,0,1
1270,1,0.6,0,1,0,6,0.6,183,1,12,141,540,1405,16,1,9,1,0,0,0
1764,1,2.0,1,8,1,31,0.2,95,4,0,302,1933,2529,18,12,6,0,0,1,2
1752,0,1.9,1,12,1,38,0.4,155,1,19,1301,759,910,11,6,15,0,1,1,1
1774,0,3.0,0,19,0,12,0.1,142,5,1,821,1488,3485,19,0,17,1,0,1,3
921,1,2.2,0,19,0,26,0.4,106,8,16,955,549,3465,10,9,4,0,1,1,3
1008,1,2.3,1,7,1,27,0.8,182,6,6,685,1804,1151,13,9,15,0,0,1,0
784,0,2.3,1,3,0,49,0.9,125,7,1,72,1033,2901,9,6,3,0,1,1,2
1091,0,0.7,1,18,1,63,0.5,129,8,5,1159,886,3735,11,8,15,1,1,0,3
1019,0,1.5,1,10,1,26,0.5,177,4,10,266,1152,1458,14,15,14,1,0,0,0
1518,0,0.7,1,1,0,28,0.6,108,3,16,1243,669,1976,9,4,11,1,1,1,1
530,0,2.8,1,4,1,55,0.6,130,3,10,1055,1132,3248,18,16,13,1,1,0,3
1975,1,1.9,1,8,1,50,0.5,166,2,4,103,1441,864,9,14,14,1,1,1,0
782,1,2.7,0,9,1,34,0.5,123,8,17,1028,1125,2735,8,12,7,0,1,0,2
881,0,2.6,0,9,0,29,0.3,150,2,16,1046,1423,1081,14,12,17,0,1,0,0
1758,0,2.5,1,18,1,5,0.5,121,7,14,1446,969,1638,14,15,3,1,1,1,1
1992,0,1.5,0,13,1,9,0.8,106,1,1,1327,1178,2698,8,9,9,0,1,1,2
1585,0,2.6,1,2,0,21,0.5,101,7,8,102,1149,615,18,3,18,1,1,0,0
1453,1,1.1,1,13,0,53,0.8,166,2,19,721,884,2437,18,7,4,0,0,0,2
1801,0,2.7,1,12,0,32,0.2,152,3,9,1754,1565,1931,14,9,11,1,1,1,2
1287,0,2.7,1,16,1,44,0.6,191,7,19,1839,877,2769,9,5,18,1,0,0,3
1823,1,3.0,0,4,1,59,0.3,197,1,13,1525,612,1358,8,2,3,0,1,1,2
1853,0,0.8,1,15,1,6,0.8,182,6,10,52,1391,1600,8,17,20,0,0,0,1
1468,1,0.5,1,1,1,46,0.5,113,4,5,1192,1529,2235,14,5,12,0,1,0,2
788,0,2.8,0,6,1,44,0.7,196,8,5,1812,1924,3585,13,10,17,0,0,1,3
1249,1,1.0,1,6,1,9,0.7,164,1,9,1213,1110,1750,6,4,20,0,0,0,0
1374,0,0.5,1,8,0,41,0.9,174,4,9,1323,1520,1041,6,7,3,0,1,0,1
920,0,1.3,1,0,0,10,0.8,159,2,3,1904,1653,2624,15,17,12,1,1,1,2
1515,0,2.1,0,6,1,22,0.4,189,6,13,1551,585,3961,18,16,9,0,0,1,3
1139,0,2.3,0,19,0,59,0.3,116,8,6,555,1991,793,18,11,6,0,0,0,1
1132,0,1.2,0,5,0,56,0.9,148,6,3,521,658,1027,8,1,10,0,0,1,0
549,1,1.8,0,3,0,61,0.4,124,8,7,1955,1094,2386,13,7,15,0,1,1,2
602,1,0.8,1,6,1,26,0.7,80,2,15,1272,1606,299,9,4,5,0,0,0,0
1381,1,2.4,1,14,1,48,0.2,183,4,17,977,610,1168,19,9,4,0,1,0,1
1514,0,0.9,0,18,1,14,0.2,90,1,6,1428,529,3313,15,11,5,0,0,0,2
1731,0,1.2,0,14,1,61,1.0,91,8,10,1357,840,1795,13,4,19,0,1,0,2
1759,1,2.0,1,18,0,24,1.0,87,7,12,1290,908,1349,16,12,18,1,0,1,1
1426,1,2.2,0,11,1,30,0.9,150,1,17,329,587,1415,16,2,7,1,1,1,1
1469,0,2.4,0,7,0,32,0.8,89,8,19,785,1261,670,15,8,17,0,0,0,1
657,1,2.2,1,11,0,6,0.3,171,6,8,1909,1192,3548,11,7,18,0,0,0,3
1197,0,1.3,0,18,1,38,0.6,199,7,9,1319,984,1298,14,2,13,0,1,1,1
692,1,2.1,1,2,1,38,0.6,195,7,12,819,506,3731,16,8,13,0,1,0,3
1003,0,1.6,0,6,1,36,0.8,148,7,6,1722,1605,638,19,0,5,0,1,0,0
755,1,2.0,0,9,0,55,0.3,141,4,16,1567,1356,2085,5,12,6,1,1,1,2
911,1,2.0,0,10,0,8,0.3,147,1,16,297,1169,3832,15,4,16,1,0,0,2
1927,0,1.9,1,0,1,53,0.5,142,6,1,862,1187,2510,6,3,15,0,1,1,3
1633,1,1.6,1,6,0,10,0.1,102,5,16,179,1751,2270,16,11,8,1,1,1,2
861,1,2.0,0,7,0,26,0.5,155,8,20,725,1647,1163,15,7,20,0,1,0,1
1520,0,2.8,1,5,0,13,0.2,133,6,15,1533,1514,1009,10,7,15,0,1,1,1
1912,0,2.0,0,8,1,37,0.7,110,3,0,118,1500,3835,10,0,16,0,0,0,3
1321,0,0.6,0,3,0,20,0.8,174,3,3,1825,686,3938,8,9,17,0,0,1,3
1299,1,0.8,1,5,0,23,0.6,132,5,7,1481,883,3967,17,6,20,0,0,0,3
1292,1,1.7,0,4,0,45,0.8,121,6,16,82,1357,1879,11,8,11,1,1,1,1
1826,0,2.9,1,0,0,55,0.6,187,7,5,141,1162,1201,18,7,3,0,0,1,1
1835,0,0.8,1,18,0,54,0.1,83,8,0,1075,918,781,6,15,18,1,1,0,1
1548,1,2.2,1,12,1,50,0.7,170,6,9,1130,1939,3461,15,17,6,0,0,0,3
645,0,1.0,1,14,1,43,0.4,186,2,18,1511,550,2724,14,7,8,0,1,0,2
827,0,1.2,0,7,0,51,0.7,113,6,17,482,1520,2015,19,15,15,1,0,1,1
1620,0,0.9,1,8,1,61,0.2,132,6,20,666,1457,3177,15,15,14,0,0,0,3
956,1,1.3,1,5,0,15,0.6,128,6,10,1806,1080,706,18,10,5,1,0,0,0
1410,1,2.3,0,12,1,4,0.9,103,4,19,635,1330,950,10,7,18,0,1,0,0
1375,1,2.5,0,16,0,14,0.3,139,2,4,1064,1179,763,14,9,18,1,1,0,0
1113,1,0.7,0,12,1,23,0.8,130,5,17,1496,1053,2868,5,11,19,0,0,0,2
716,1,2.2,0,1,0,38,0.7,139,6,13,946,1287,3167,9,0,8,0,1,0,3
1629,1,2.4,1,5,1,10,0.1,118,4,7,1147,1429,2920,9,10,15,0,1,1,2
645,1,2.0,0,2,1,9,0.3,189,8,7,478,805,1643,12,10,5,0,0,1,0
740,1,1.2,1,17,0,7,0.7,115,6,7,1292,1301,1898,14,3,3,1,0,0,1
767,0,1.9,1,3,0,46,0.4,137,1,6,1112,560,2797,16,17,19,0,1,1,2
749,1,1.1,1,4,0,12,0.2,108,7,14,1934,1508,3018,10,5,8,0,1,0,3
695,0,2.8,1,12,0,20,0.9,94,7,14,1586,1385,546,12,0,11,1,0,0,0
527,1,3.0,1,5,0,26,0.6,163,1,11,1080,757,2877,14,17,16,1,1,0,2
697,1,2.1,1,4,1,51,0.4,189,7,12,1247,1627,3214,10,3,14,1,1,1,3
1735,1,2.6,0,4,0,26,0.1,137,3,12,515,1483,2991,11,13,5,0,0,1,3
1890,1,1.5,0,13,1,53,0.8,167,1,10,754,1391,2594,11,10,6,1,0,1,2
1985,1,2.7,1,10,1,58,0.8,89,2,4,1679,1634,692,19,16,2,1,1,0,1
1282,1,2.6,0,12,0,55,0.4,148,1,7,1336,1592,1005,19,14,5,0,1,0,1
1678,0,1.3,1,11,1,62,0.1,98,7,17,1559,736,1235,10,16,12,0,0,1,2
1597,1,1.4,0,6,1,36,0.6,115,7,19,1517,1292,2529,11,5,11,1,1,0,3
994,1,1.3,0,3,1,30,0.2,177,4,20,10,1807,2202,17,9,20,1,1,1,1
614,0,0.5,1,10,0,36,0.8,123,1,9,1489,698,1374,6,12,17,0,0,1,0
1386,1,2.4,1,8,1,11,0.9,111,5,10,1884,1620,2096,16,14,8,0,1,0,2
1416,0,0.9,1,13,1,28,0.5,97,8,17,1586,1418,3583,5,3,13,1,1,0,3
1030,1,1.2,0,6,1,34,0.7,96,1,1,1181,1420,2135,17,8,20,0,0,1,1
597,1,1.4,0,6,0,60,0.8,166,3,4,713,1171,675,7,2,18,1,0,0,0
1020,1,2.6,1,1,1,24,0.6,117,4,9,1203,1984,1686,6,10,14,1,0,1,1
1156,1,1.0,0,9,1,16,0.8,100,6,13,34,1051,1245,15,12,16,1,1,1,0
1421,1,0.5,1,6,1,55,0.4,162,7,16,645,950,1171,9,4,8,0,0,1,1
1529,1,1.0,0,17,0,48,0.3,196,4,8,55,742,1388,7,14,11,0,1,0,1
1445,0,0.6,0,13,1,63,0.3,159,7,7,1946,1216,3793,17,8,18,1,1,0,3
773,1,2.7,1,3,1,2,0.5,132,3,17,1941,1594,3572,13,3,19,1,1,1,3
561,0,2.1,0,4,0,34,0.2,194,5,9,1647,1612,3455,14,7,2,1,1,0,3
1314,0,1.1,1,0,1,57,0.4,183,8,7,753,979,546,10,14,3,0,1,0,0
988,0,1.1,0,6,0,30,1.0,182,6,11,171,1194,3746,17,7,13,1,1,1,3
1274,0,2.9,1,6,1,29,1.0,119,3,7,1227,1050,1583,7,5,9,1,0,1,1
1759,1,0.7,1,4,0,24,0.2,150,8,18,656,1935,2389,18,7,20,0,0,0,2
763,0,2.5,1,2,1,32,0.8,89,3,10,1577,1485,902,18,10,14,0,1,1,0
651,1,0.5,1,9,1,55,0.4,150,1,16,738,562,3507,15,6,8,1,1,0,2
1509,0,2.8,1,7,0,31,0.9,151,8,6,726,1281,992,5,15,17,0,1,0,1
787,1,1.2,1,10,0,47,0.9,162,6,7,1145,1432,2001,10,8,14,0,1,0,1
1258,0,1.2,0,3,0,27,1.0,164,7,20,1757,1005,409,10,2,12,0,0,0,0
1440,1,2.5,1,19,0,28,0.3,173,4,4,1404,1454,537,15,0,17,1,1,0,0
1121,0,2.6,1,13,0,7,0.7,109,5,10,56,603,1603,11,14,8,0,1,0,0
993,0,0.8,0,12,0,23,1.0,169,2,4,67,623,2351,11,14,5,0,1,1,1
1128,1,2.6,0,2,1,8,0.5,124,6,19,178,1597,3445,11,16,19,0,0,0,3
849,0,0.7,1,5,0,45,0.7,84,4,19,1666,756,329,11,5,15,1,1,1,0
1611,0,1.8,0,5,1,8,0.6,198,1,11,1253,1693,1330,8,9,10,0,0,1,1
696,1,2.3,1,0,0,23,0.6,144,4,12,243,1311,1116,14,4,4,0,1,1,0
1759,1,2.3,1,0,0,25,0.2,193,7,15,1038,1413,3830,18,0,9,0,0,1,3
537,0,2.5,1,7,1,21,0.6,197,4,9,1099,780,399,16,3,18,1,0,1,0
1992,0,1.9,0,0,0,37,0.2,159,8,3,1317,1943,3205,14,3,2,0,1,0,3
988,0,2.8,1,18,1,36,0.5,191,5,3,493,524,1513,12,15,4,1,0,1,0
1865,1,1.5,0,6,1,5,0.8,83,2,16,1897,1282,276,7,0,4,1,0,0,0
1316,1,1.5,0,15,1,62,0.5,170,3,9,181,764,3319,12,9,17,1,0,1,3
571,1,2.8,0,16,1,38,0.4,185,6,19,1406,1102,2418,6,2,12,0,0,0,2
732,0,1.6,1,6,1,55,0.8,118,8,20,1626,741,2737,17,13,3,1,1,0,3
1430,1,0.8,0,2,0,30,0.2,138,5,4,1536,1672,3192,8,11,9,0,0,1,3
1595,1,0.6,0,1,1,25,0.2,142,7,13,1951,810,3566,10,6,19,1,1,1,3
1655,1,1.1,0,2,0,29,0.4,194,3,15,858,1530,1298,14,2,18,0,1,0,1
1014,1,2.8,1,14,0,55,0.7,82,4,10,987,1139,2491,11,12,13,1,1,1,2
674,0,0.5,0,17,0,3,0.1,194,3,20,516,898,3905,19,17,4,0,0,0,2
1605,0,2.8,1,5,1,18,0.3,131,2,10,852,920,2226,5,9,2,1,1,1,2
1176,0,1.2,0,8,1,32,0.2,145,2,1,1902,1631,3898,13,8,7,1,0,1,3
1734,1,2.5,0,14,0,53,0.8,130,6,6,1242,1076,329,7,6,8,1,0,1,0
1078,0,1.6,1,12,0,4,0.8,105,1,20,1330,1141,3862,7,17,14,1,1,0,3
1438,1,2.9,0,1,0,4,0.3,83,5,10,397,619,3461,5,5,15,1,1,1,3
1737,0,2.8,0,15,0,50,0.4,105,7,12,421,861,3043,9,8,14,1,0,0,3
1403,0,0.7,1,6,0,60,0.8,164,8,4,1508,1062,871,13,14,5,1,0,1,1
1718,0,2.4,0,8,0,51,0.4,192,4,18,707,1795,3597,8,15,13,1,0,1,3
1102,0,1.0,0,19,0,60,0.8,199,6,0,1943,1140,3866,14,4,2,0,0,1,3
1123,0,3.0,1,6,1,35,0.4,173,3,0,1706,1746,1333,8,11,14,0,1,1,1
938,0,0.6,0,0,1,32,0.8,183,3,9,451,1245,1237,5,1,15,1,0,0,0
1231,0,1.9,1,7,1,8,0.4,161,2,2,1061,608,1529,19,13,14,0,1,1,0
1782,1,2.3,1,11,0,28,0.6,123,2,5,58,1654,391,19,3,3,0,0,0,0
1919,1,1.1,1,6,1,3,0.8,102,5,11,1073,964,3005,15,14,10,1,0,0,2
1179,1,2.6,1,5,1,59,0.8,163,1,3,951,1995,2842,12,3,10,1,1,0,3
1723,1,2.8,1,17,1,58,0.3,89,5,1,1743,950,3893,19,12,13,1,1,1,3
545,0,2.2,0,5,0,45,0.5,194,5,19,1695,1802,919,18,4,5,0,0,1,1
1905,0,1.8,0,1,0,48,0.2,111,1,11,1380,1336,3429,9,6,18,1,1,1,3
1481,0,2.1,0,0,1,57,0.9,194,1,20,856,1784,1842,15,16,5,1,1,0,2
1070,0,2.1,0,1,1,33,0.5,144,2,12,1559,1812,1588,13,11,11,1,0,1,1
1636,0,1.8,0,0,1,25,0.2,130,4,16,791,1062,3899,19,9,18,0,0,0,3
1854,1,0.5,1,5,0,29,0.4,103,3,18,998,579,1652,14,16,14,0,0,0,1
1444,0,1.8,1,7,1,63,0.2,138,8,5,8,1519,610,19,15,10,1,1,0,0
1541,1,2.4,0,7,0,48,0.8,133,2,3,228,979,973,14,11,6,0,0,1,0
738,1,0.5,0,10,0,45,0.7,162,5,0,826,1267,2675,6,0,7,1,0,0,2
773,1,2.3,0,18,0,56,0.9,118,2,5,270,1782,2984,5,15,5,1,0,0,2
1477,0,0.5,0,14,0,52,0.3,173,2,19,1683,806,523,18,7,5,1,1,0,0
1352,0,0.7,0,8,1,52,0.5,166,5,20,1020,1689,967,13,7,16,1,0,0,1
1926,1,1.3,0,14,1,16,0.7,131,8,6,729,1641,3975,14,15,14,1,0,0,3
635,0,1.0,0,9,0,41,0.6,106,4,19,1835,1733,2047,19,5,3,1,1,0,2
1037,0,0.7,0,9,0,29,0.7,99,3,18,1617,898,3304,18,11,7,1,1,0,3
1028,0,1.8,0,0,1,12,0.2,188,3,14,41,1271,1513,16,17,14,1,1,0,0
930,0,2.4,0,9,1,2,0.2,80,3,3,1197,1721,3028,8,16,15,0,1,0,2
1663,0,2.2,1,19,1,60,1.0,178,8,10,169,513,3345,17,3,19,1,1,0,3
1234,1,2.0,1,6,0,34,0.8,175,2,4,1110,1081,2117,18,2,14,1,1,0,1
788,1,1.2,1,16,1,58,0.4,199,3,6,1457,1421,2758,11,4,18,0,1,1,2
1200,0,1.1,1,0,1,21,0.8,178,2,1,1677,1947,3493,10,14,17,1,0,1,3
784,0,1.8,1,7,1,53,0.8,160,2,6,1883,1496,805,16,10,12,0,1,0,0
1486,1,2.4,0,17,0,63,0.6,159,2,16,577,1754,1017,5,16,4,0,0,1,1
1349,1,0.7,1,18,0,32,0.6,175,1,15,241,1438,2983,10,12,19,0,0,1,2
879,1,1.1,0,14,1,20,0.9,94,6,6,445,1586,1014,9,12,20,1,1,1,0
947,0,0.9,0,1,0,55,0.8,100,6,7,1123,1070,860,7,7,11,0,1,0,0
657,1,1.0,1,2,1,39,0.3,121,8,17,1786,1645,3555,14,7,4,0,0,1,3
646,0,0.5,1,7,0,54,0.9,167,4,7,1047,1455,2317,19,6,5,0,0,0,2
1060,1,2.2,0,7,0,32,0.9,151,4,10,298,1158,508,8,9,14,0,0,1,0
754,0,0.9,1,13,1,55,0.2,178,6,13,62,511,3569,18,14,15,0,1,1,3
1483,1,2.1,0,3,0,23,0.8,181,1,20,794,803,2370,17,2,16,1,1,0,2
1197,1,1.1,0,11,0,5,0.3,106,1,16,335,1845,2066,15,4,18,0,1,0,1
676,1,1.2,0,2,1,45,0.3,177,2,5,1504,1330,401,11,13,4,0,0,1,0
1472,0,1.9,0,0,1,3,0.4,181,6,1,1152,737,2044,5,17,12,0,0,0,1
1739,0,2.2,0,9,0,41,0.8,99,4,20,534,1491,3690,10,3,3,1,0,0,3
605,1,1.3,0,3,0,19,0.4,130,4,8,404,1426,1128,10,14,7,0,1,0,0
1155,0,1.7,0,8,1,41,0.8,140,5,10,1502,1925,3101,5,1,10,0,1,1,3
1012,1,1.8,1,14,1,55,0.8,189,6,17,544,1290,1130,15,2,4,1,1,0,1
645,0,1.7,0,12,0,22,0.3,194,5,0,1316,702,3347,7,7,10,1,1,1,2
1621,1,2.8,0,16,0,50,0.1,153,2,19,1168,517,1092,5,9,16,0,1,1,1
747,1,0.7,0,16,0,35,0.3,196,8,13,592,1647,2516,18,1,3,1,0,1,2
1689,0,2.3,0,13,1,37,0.8,154,1,10,1250,1094,1575,17,0,7,1,0,1,1
1498,0,2.5,0,14,0,46,0.5,178,4,16,596,1820,1041,10,1,15,0,1,0,1
1159,1,2.8,1,1,1,48,0.9,152,7,14,671,541,2364,15,13,11,1,1,1,2
1501,0,2.0,0,12,0,60,0.9,121,1,11,1613,569,1545,5,1,6,0,1,1,1
1205,1,1.0,0,17,0,13,0.5,119,7,5,640,753,2841,6,1,14,1,1,0,2
970,0,0.5,1,10,1,39,0.7,154,8,5,78,1898,2206,16,11,6,1,1,1,1
796,0,1.4,0,3,0,62,0.2,97,5,11,1924,1605,489,16,1,11,1,1,1,1
776,1,2.5,1,11,0,14,0.4,190,6,7,654,909,465,18,7,16,0,1,0,0
1568,1,1.9,1,1,0,26,0.1,87,2,12,1687,1258,2718,6,2,14,0,1,0,3
1627,0,1.2,0,6,0,62,0.4,128,3,16,446,750,2865,11,6,5,0,1,0,3
1813,0,2.9,1,2,0,53,0.4,136,5,11,1370,1354,442,11,6,4,1,1,0,1
1851,0,2.5,1,19,0,24,0.9,194,1,17,372,767,2491,18,4,7,1,0,0,2
1428,1,2.0,1,15,1,42,0.5,91,8,5,710,1145,2164,17,8,19,0,1,1,2
1745,0,2.5,0,7,0,40,0.7,169,4,15,16,1022,3719,14,14,20,0,1,1,3
667,0,2.1,0,9,1,11,0.7,82,5,8,756,1218,612,11,14,7,0,0,1,0
791,1,1.3,0,11,0,32,0.3,167,3,2,722,1618,3764,8,2,17,1,0,1,3
571,1,2.2,1,10,0,29,0.9,162,4,16,1287,1842,558,19,0,16,1,1,0,0
1197,1,2.5,1,5,1,52,0.8,126,4,0,923,1503,2179,7,11,18,0,0,0,2
1665,0,1.7,0,8,0,10,0.3,184,1,4,1815,1316,1301,17,7,6,1,0,1,1
1046,0,0.7,0,7,1,30,0.5,165,8,18,1745,919,3122,12,6,19,1,1,1,3
1943,1,1.2,1,11,0,57,0.2,182,6,3,1323,955,3662,15,4,19,1,0,0,3
1216,0,2.7,1,17,1,28,0.9,172,4,17,1933,1483,2188,17,3,19,0,1,0,2
981,1,1.1,1,13,1,46,1.0,93,8,10,754,868,274,14,10,8,1,0,1,0
1892,1,1.3,1,12,1,33,0.9,152,7,12,34,707,1160,9,1,5,0,0,1,1
689,1,0.7,0,3,1,18,0.2,118,3,19,1168,1659,2192,9,17,4,0,0,1,1
1252,0,1.4,0,9,0,23,0.9,197,8,5,1059,1697,3231,16,7,18,0,0,1,3
1465,1,2.1,1,13,0,63,0.9,149,5,11,438,1396,1262,7,12,17,0,0,1,1
1198,1,2.9,0,13,0,32,0.6,122,8,18,1429,1448,872,19,5,10,0,1,1,1
853,1,2.0,0,5,0,28,0.2,121,4,3,1703,1005,333,19,2,7,1,1,0,0
658,1,2.0,1,19,0,11,0.4,91,6,2,1790,1034,2872,9,9,3,0,1,1,2
577,1,2.7,0,8,0,3,0.2,115,2,19,1601,1930,1373,7,10,6,0,1,0,1
812,1,0.6,1,17,0,30,0.9,182,8,7,14,1758,3717,15,13,19,1,0,1,2
1418,0,3.0,0,1,1,24,0.6,86,1,1,1506,1541,3996,14,1,2,0,1,1,3
806,0,1.6,1,9,0,9,0.8,169,6,4,1065,1221,3907,8,13,13,1,0,0,3
830,0,2.6,1,19,0,44,1.0,175,4,15,1816,548,2128,10,4,11,0,0,1,2
1537,1,2.9,1,17,1,43,0.3,186,2,6,1922,1176,2451,15,16,20,1,1,0,3
1918,1,2.9,0,5,1,6,0.9,159,2,0,295,676,3566,19,10,4,0,0,0,3
1922,0,1.7,1,15,1,7,0.7,90,7,16,1819,568,1299,16,13,13,1,0,1,1
558,1,2.7,0,14,0,47,0.9,105,3,12,1623,1880,1508,11,4,12,1,1,0,1
562,0,1.6,1,3,0,45,0.3,147,7,0,282,966,1651,5,13,2,0,1,1,0
1918,1,0.7,0,8,1,4,0.6,165,3,5,20,1901,1845,18,0,20,0,1,1,0
755,0,0.6,1,1,1,25,0.9,89,1,0,1664,894,1260,6,9,18,1,1,1,0
624,1,1.2,0,14,0,40,0.3,113,7,20,1149,856,363,5,11,2,1,0,1,0
1943,0,2.7,0,6,0,22,0.3,120,4,6,1576,1085,2387,17,16,17,0,0,0,2
1809,1,0.8,1,8,0,64,0.5,131,8,18,1731,1472,1056,8,3,9,1,1,1,2
815,1,2.1,1,0,0,31,0.5,97,5,0,947,1814,2401,16,3,15,0,0,0,2
1335,1,1.4,0,2,1,44,0.7,133,1,18,1119,1289,3472,15,11,11,1,1,0,3
1661,0,1.2,0,6,1,9,0.1,195,6,15,1223,1940,2612,5,4,10,0,1,1,3
1169,0,2.4,1,13,1,9,0.3,183,5,20,746,742,3822,16,16,3,0,0,1,3
909,0,2.8,1,10,0,8,1.0,120,1,4,952,562,924,10,1,19,0,0,0,0
691,0,0.8,1,8,1,40,0.6,159,5,3,1430,1906,2572,19,0,13,0,0,0,2
1976,1,1.9,1,2,0,60,0.3,159,6,20,1161,667,542,17,2,18,1,0,0,1
1501,1,2.1,0,17,1,36,0.4,146,4,7,187,1929,960,18,6,20,1,0,1,0
1278,1,0.7,1,1,0,23,0.7,103,1,6,1741,650,2208,18,12,18,1,0,1,1
516,1,2.6,1,4,0,14,0.5,113,6,0,1941,1706,859,8,9,8,1,0,1,0
1869,0,0.9,0,8,0,20,0.6,170,6,20,1934,823,1270,18,6,9,0,1,0,1
1711,1,1.1,1,12,0,41,1.0,169,4,19,997,1114,1502,6,9,14,1,0,1,1
839,0,0.8,1,10,1,37,0.4,136,3,11,1570,1374,3649,10,1,11,0,1,1,3
1024,0,2.4,1,17,0,37,1.0,192,6,3,900,1161,2227,8,7,16,1,0,1,2
